Course Code,Course Name,Academic Units,Faculty,BDE,Grade Type,Prerequisites,Mutually Exclusive,Course Information,Discipline
HG3043,MALAY LINGUISTICS 1 - HISTORY & STRUCTURE,3,School of Humanities,Yes,Letter Graded,[['HG2034']],,"This course introduces fundamental topics in Malay linguistics, covering 1. Malay from the historical, typological, and language contact perspective 2. Malay sound system 3. Malay grammar 4. Malay discourse",Linguistics
HG4011,LANGUAGE & THE BRAIN,4,School of Humanities,Yes,Letter Graded,[['HG1001']],,"In this course we will examine how language is represented and learnt in the brain. Cutting-edge findings from state of the art techniques using functional neuroimaging and lesion studies will be reviewed to enable students to understand the workings of the human brain in relation to language use. Specific aspects of language processing such as meaning representation, speech perception and learning, learning disabilities as well as the bilingual brain will be introduced. Basic neuroanatomy will also be covered to enable students to pursue further studies. This course introduces functional neuroimaging at an advanced level.",Linguistics
HG4013,MULTILINGUALISM ACROSS THE LIFESPAN,4,School of Humanities,Yes,Letter Graded,"[['HG1001', 'HG2001', 'HG2002']]",,"The course will focus on critical topics that affect multilingual individuals in multilingual communities across the lifespan. The approach is interdisciplinary as the readings will be drawn from psycholinguistics, sociolinguistics and education. The students will read advanced theoretical discussion of multilingualism as a phenomenon and reflect on why the current research scope needs to be extended to include multilinguals and not just bilinguals. The primary focus of the course is on evaluating how multilingualism alters our perception of the world from a cognitive perspective. However, the importance of social contexts and its modulating impact on cognition will be a central theme in this course. The readings will also be geared towards an in depth understanding of the methodological concerns in the field.. At the end of the course, students will be more able to ask incisive questions relevant to the field and develop a topic for research. Upon completion of this course, the students will be able to pursue their own data collection for their own independent research in a multilingual context.",Linguistics
HG4024,SOCIAL THEORIES & LANGUAGE,4,School of Humanities,Yes,Letter Graded,,,"This course introduces you to social theories that have had a profound impact on how linguists study language, and understand the links between language use and society. Important theoretical frameworks by prominent theorists (eg Foucault, Bourdieu, Butler and Bakhtin) are essential concepts for anyone with an interest in the Humanities and Social Sciences, and that have been exceedingly influential in the field of linguistics the last 30 years. This course is especially useful to those who seek a theoretical grounding in how we can better understand and characterize society, human behaviour and language use, by critically engaging with classic texts written by these social theorists.",Linguistics
HG4031,MULTIMODALITY IN SITUATED CONTEXTS,4,School of Humanities,Yes,Letter Graded,[['HG2020']],,"In this course, you will learn to analyse communication and its relations to multimodal resources that users deploy in particular situations. We outline the key concepts and methods of distinct traditions in multimodal analysis; refer to seminal studies and critiques; and reflect on their synergies and differences. Crucially, you will learn to develop research questions and design a study related to multimodal discourse. This course is for anyone who is interested in language, communication and meaning, including, but not limited to students in applied and sociolinguistics.",Linguistics
HG4033,ADVANCED CONVERSATION ANALYSIS,4,School of Humanities,Yes,Letter Graded,[['HG2033']],['HG4030'],"Conversation analysis (CA) is a well-attested method within multiple humanistic and social science disciplines that uncovers the working of human communicative behaviours. CA is also used. to comprehend the way we produce and understand naturally occurring talk in various social and institutional spheres. You will receive hands-on training in the collection, transcription and systematic analysis of interactional data through this highly empirical and rigorous methodology. With this training, you will become well-prepared in conducting research within this field of study. Topics covered include turn-taking, adjacency pairs, opening and closing, agreement and disagreement, pre-sequences, preference organization, repair, story-telling, and the requesting, giving, and reception of information in conversation.",Linguistics
HG4052,SPEECH SYNTHESIS & RECOGNITION,4,School of Humanities,Yes,Letter Graded,[['HG2003']],['HG3052'],"Speech synthesis and recognition deals with the design and implementation of computer systems that can 'produce' and 'perceive' speech signals. The goal of this course is to equip you with the knowledge and skills necessary to understand, evaluate, and design and implement a wide range of speech synthesis and recognition systems. These two fields are highly relevant in the linguistics-related sector of the information and communications technology industry. Taking this course will open up opportunities for you by preparing you to enter positions related to these topics or pursue advanced degrees dealing with speech synthesis and/or recognition. For those of you who are more interested in linguistics research, the course will have positive benefits for the study phonetics and phonology, since many of the topics discussed reinforce and extend issues in these fields, particularly concerning acoustic phonetics.",Linguistics
HG4062,"LANGUAGE, CULTURE & SOCIETY IN SOUTHEAST ASIA",4,School of Humanities,Yes,Letter Graded,"[['HG1001', 'HG2020']]",,"Using materials from Mainland and Island Southeast Asia, the course will have two main themes: Language-external: (a) The region's array of languages examined historically and sociolinguistically. (b) The use of linguistic data in uncovering the region's social and cultural history. (c) Language-change and language-loss in the face of present-day political pressures. (d) Language-engineering in the region's nation-states. Language-internal: (a) Critical discussion of the various theoretical approaches to language-and-culture issues, both old and new, especially as presented in the literature of linguistic anthropology. (b) Discussion of the extent to which the organisation (phonology, morphology, syntax, semantics) of languages relates to their cultural and social contexts in which they are spoken.",Linguistics
HG4070,EXPERIMENTAL PHONETICS,4,School of Humanities,Yes,Letter Graded,[['HG2003']],,"The course will cover three main areas: experimental design, acoustic methods, perceptual methods. It is necessary to fully understand the tools and techniques used to properly implement experiments and to interpret the resulting data. Emphasis is placed on the design of phonetic and phonological experiments using electronic systems and introducing computer technology for speech analysis. Therefore, in addition to the sections on experimental methodology there will be a significant portion of the course devoted to mastering computer-based acoustic analysis.",Linguistics
CS0201,FOUNDATIONS OF COMMUNICATION STUDIES,3,Wee Kim Wee School of Communication and Information,Yes,Letter Graded,,['CS8100'],"This course provides an introduction to the basic theories, concepts, principles, and contexts of human communication. The course is designed as an introduction to the field of communication studies. It offers an overview of fundamental communication principles and practices applicable to many careers. Students will learn how to reflect and think critically about communication in personal and public contexts and explore how communication has created and shaped our society, as well as our personal lives. Topically, the course will focus on some of the key areas of specialty within our School, which include (but is not limited to) mass communication, promotional communication, interpersonal communication, organizational communication, intercultural communication, and communication in the era of new technologies. Ultimately, this course aims to cultivate an enduring interest, curiosity, and enthusiasm for various facets of communication, both as a discipline (i.e., the 'field' of communication) and as a foundation for human life.",Communication Studies
CS0204,BASIC MEDIA WRITING,3,Wee Kim Wee School of Communication and Information,Yes,Letter Graded,,['CS0205'],"This hands-on course covers the fundamentals of writing for mass media, with an emphasis on reaching publics that are diverse and demanding. Students will learn how to write news stories for print and broadcast, public relation releases, and advertising copy. While introducing students to the differing needs of the various media industries, the separate strands of the course collectively reinforce common principles such as accuracy, honesty and integrity in communication, as well as an appreciation of clear, concise and effective writing.",Communication Studies
CS0209,"MEDIA LAW, ETHICS & POLICY",3,Wee Kim Wee School of Communication and Information,Yes,Letter Graded,,['CS4002'],"This course introduces basics of media law, ethics, and policy, emphasizing Singapore's unique approach. Objectives are: To develop working knowledge of the law in Singapore-to train you to recognize potential trouble, to know when you're safe, and give you practice in defending your decisions. To examine the development of the Singapore's media law and its underlying policy rationales, and compare and contrast different approaches to media law internationally. To examine the role of media ethics standards, as supplements or alternatives to regulation. In the ethics section, we also think about what kind of professional standards we want to uphold in our careers.",Communication Studies
CS2008,FUNDAMENTALS OF RESEARCH,3,Wee Kim Wee School of Communication and Information,Yes,Letter Graded,,,"This course introduces basic principles and methods of social scientific research. These skills are required for marketing, public relations, and communication campaigns based on research, and for measuring campaign effectiveness. Regardless of your career path, these skills are increasingly essential for us as citizens and consumers, to understand public discourse and policy debates that draw on the findings of research studies. Conducting research is critical for some career paths in communication, marketing, and public relations, and for those who pursue further graduate study or academic careers in research. Though many of the examples will be of communication research, much of the material is applicable to all social and behavioral sciences, and even physical and mathematical sciences. The lectures will present the critical content for the course, and the tutorials are designed to allow for reflection and application of the key concepts. While there will be opportunities for discussion during lecture, the tutorials are where most of the in-person dialogue will occur. An online discussion forum is also available for students to pose questions and share ideas related to the course.",Communication Studies
CS2021,NEWS REPORTING & WRITING,3,Wee Kim Wee School of Communication and Information,Yes,Letter Graded,[['CS0204']],,"This practical course develops the reporting skills, writing ability, and editorial judgment required of journalists working in printed news media. The basics of accuracy, fairness, balance, and professional ethics are emphasised. Students will learn to approach stories with readers in mind, asking relevant and meaningful questions, critically assessing information they obtain, and writing with clarity and credibility. Students will have regular hands-on exercises to sharpen their reporting and writing skills, and engage in discussion and critique of on-going news coverage in and beyond Singapore to develop their news judgment.",Communication Studies
CS2023,PRINT & DIGITAL PUBLICATIONS,3,Wee Kim Wee School of Communication and Information,Yes,Letter Graded,[['CS0204']],,"This course covers the fundamentals of newspaper/magazine design, and provides hands-on training in computer applications for page layout and image editing. In addition to catering to students interested in specialising in publication design, the course is geared to would-be writers and photographers, who need to appreciate effective visual presentation and tap the power of thinking visually in their journalism. Practical exercises are grounded in theories pertaining to typography, colour, space, and other design elements. Students will also be familiarised with design trends in the newspaper and magazine publishing industries, including the impact of technological change.",Communication Studies
CS2024,WEB DESIGN & TECHNOLOGIES,3,Wee Kim Wee School of Communication and Information,Yes,Letter Graded,,,"The course covers a brief history of hypertext and the World Wide Web, and gives a broad overview of technologies used in Web design. Students will be taught how to design, implement and maintain Web-based sites using authoring and scripting languages, content creation, management and digital media tools. Students will learn how to implement the latest strategies to develop third generation Websites, evaluate design tools, discuss future technology standards and explore the incompatibility issues surrounding current browsers.",Communication Studies
CS2025,IMAGE & SOUND PRODUCTION,3,Wee Kim Wee School of Communication and Information,Yes,Letter Graded,,,"This course introduces the core components of motion picture production: idea, image, sound, and sequence. In lecture, students will view movies and/or television programmes while considering a variety of questions. What do we want to express? Who is our audience? How do we talk about images? What compositional elements can we control or manipulate? How do we sequence images in order to evoke specific responses? What happens when particular sounds and images are juxtaposed? In related tutorials, students will explore these concepts with digital video cameras and nonlinear editing.",Communication Studies
CS2030,AUDIO IN MEDIA,3,Wee Kim Wee School of Communication and Information,Yes,Letter Graded,,,"The course is a hands-on course in which students will take a look at the basic theory and concepts, equipment, software and techniques and working on specific projects which are production related.",Communication Studies
CS2033,CORPORATE COMMUNICATIONS MANAGEMENT,3,Wee Kim Wee School of Communication and Information,Yes,Letter Graded,,['CS4033'],"The course consists of three parts. The first part of the course will present theoretical concepts and frameworks that guide corporate communication research and practice. Second, various corporate communication functions with different stakeholders such as consumers, employees, media, investors, and the general public will be covered. For the last part of the course, you will learn how to plan and evaluate corporate communication strategies as a group project. The primary aim is to equip students with foundational knowledge and skills for effective corporate communications management. Content The course covers the following: foundations in corporate communications communications in different platforms such as social media communications in an international arena/multicultural environment Crisis communication",Communication Studies
CS2044,PHOTOJOURNALISM,3,Wee Kim Wee School of Communication and Information,Yes,Letter Graded,,,"This course introduces the basics of still photography for use in mass communications. The latest digital photographic techniques will be employed throughout, including digital still cameras and digital darkroom software on computers. In this course, we will look at how journalism professionals can take their own photographs, as well as work with professional photographers. The work output should be suitable for publication in newspapers, magazines, company publications, brochures, and digital slide-show presentations. By providing a basic appreciation of photojournalism, this course should be of value to aspiring photojournalists as well as writers and editors seeking a broader visual awareness.",Communication Studies
CS2055,ORGANISATIONAL COMMUNICATION,3,Wee Kim Wee School of Communication and Information,Yes,Letter Graded,,,"Information and knowledge constitute key assets of the most successful organizations and communication is the lifeblood. This course is designed for aspiring managers, leaders, and entrepreneurs seeking to understand the core of organisational communication and develop a conceptual framework that allows them to manage the changing workplace. The specific aims are: 1 Gain insights into communication in global teamwork, conflict management, digital transformation, competency management, knowledge management, and co-creation, through analysing contemporary examples and living cases 2 Explore how information technology can promote effective organizational communication through e-learning activities 3 Increase confidence in managing organizational communication by prototyping solutions for current or future challenges",Communication Studies
CS2056,PSYCHOLOGY & COMMUNICATION,3,Wee Kim Wee School of Communication and Information,Yes,Letter Graded,,,"To better understand how and why communication occurs and what effects it has, it is necessary to get inside the ""black box"" of the human mind. Therefore, this course will concentrate on studying cognitive processes and their relationship to media and communication. While some attention will be paid to the psychological aspects of interpersonal communication, the primary the goal of the course is to develop an understanding of media from a psychological perspective. That is, the course will examine how perception, attention, memory, attitudes and emotion are related to the experience of mediated communication. These psychological responses will be examined in a range of contexts and communication functions including news and information, advertising and persuasion, and entertainment. This will help students become both better producers of media and more critical users.",Communication Studies
CS2058,INTEGRATED MARKETING COMMUNICATION,3,Wee Kim Wee School of Communication and Information,Yes,Letter Graded,,"['BM2504', ' BM2512', ' BU5502', ' BU8502']","In today's fast-changing marketplace, brands, more than ever, need to optimize their brand communication by using a multitude of tools and technology. Integration is the key to success. This introductory course aims to equip you with the principles and best practices of Integrated Marketing Communication (IMC), closely relating with real-world perspectives from marketers, agencies, end-users, and consumers, through up-to-date lessons from the industry. Students are expected to be familiar with the various elements of IMC, including traditional methods like advertising, sales promotion, public relations, and online marketing, as well as contemporary practices such as strategic planning, campaign rationalization and development, effective use of media vehicles (both online and offline) and channels, and other applications. Both local and international examples will be used for illustration in this course.",Communication Studies
CS2101,PUBLIC RELATIONS WRITING,3,Wee Kim Wee School of Communication and Information,Yes,Letter Graded,,['CS4028'],"The course is designed to teach students to write effectively, think critically, and scan the environment for audience perceptions and market changes that affect the reputation of a corporation or person. Students Jearn how to conduct public relations research, listen to different stakeholders, understand issues in the macro-environment, develop newsworthy messages, write effectively and pitch persuasively to the media. Course Content Corporate reputation management basics. Organizational storytelling. Social listening strategies. Client and media pitches. Media relations essentials.",Communication Studies
CS2102,"INTRODUCTION TO ADVERTISING, SOCIETY, & CONSUMER ANALYTICS",3,Wee Kim Wee School of Communication and Information,Yes,Letter Graded,,,"The course aims to develop your understanding of advertising as a form of social communication in contemporary society, including the meanings and functions of advertising in modern culture, advertising?s psychological, ideological, and sociological implications. This course will also inform you of the basics of consumer/audience analytics in relation to advertising. This course will serve as the basis for future advertising courses and advertising/PR practices.",Communication Studies
CS2400,FOUNDATION OF INFORMATION ANALYTICS,3,Wee Kim Wee School of Communication and Information,Yes,Letter Graded,,['CS4036'],"Learning Objective This course will introduce you to the statistical foundations of data science and information analytics for handling of massive databases. The course covers the statistical concepts required for big data analytics, and introduces you to statistical tests and statistical modeling. Content Importance of Statistics; Descriptive Statistics; Probability; Counting Techniques; Discrete Probability Distributions; Normal Distribution; Confidence Intervals; Hypotheses Testing for one Population; Hypotheses Testing for two Populations; Correlation and Linear Regression; Non-linear Regression; Application of Statistics to Data Analytics",Communication Studies
CS2405,DATA MINING,3,Wee Kim Wee School of Communication and Information,Yes,Letter Graded,[['CS2400']],,"This course covers the principles and techniques of data mining for extracting information from large amounts of numerical data. The information mined from data is often in the form of associations, patterns or specific facts, that can be synthesized to create new knowledge, construct prediction models or used in decision making. The class will be run partly in a project-based/problem-based style. Lab sessions and the class project will provide students with hands-on experience with a data mining software. The approach taken in the course is a how-to-do-it, how-does-it-work and how-to-apply-it kind of approach, to develop the student's common sense ability to manipulate and analyze data intelligently for deriving new knowledge or supporting decision making.",Communication Studies
FL5001,INTRODUCTION TO FILM STUDIES,3,Wee Kim Wee School of Communication and Information,Yes,Letter Graded,,,"The course provides an introduction to the discipline of cinema studies, structured as a survey of important films in the history of the development of cinema, from the age of the silent movies to the present digital age. Students will, therefore, enlarge their knowledge of cinema through an exposure of the great classic films and be taught basic film terminology, as well as formal and critical analyses. In the process, they will gain a general awareness of film history and movements; and be taught the basic skills necessary to read or analyse a film critically. They will learn about film theory and the various genres of narrative cinema to better understand how cinematic movements and theoretical ideas were born, and how film cultures and criticisms have developed globally. To that end, students will study feature films from the major film production centres around the world.",Communication Studies
CS4018,SPECIALISED JOURNALISM:BUSINESS & ECONOMICS,4,Wee Kim Wee School of Communication and Information,Yes,Letter Graded,[['CS2021']],,"This course will help students better understand the general business environment and how to report and write about it. The seminars will cover core topics of business reporting such as economics, foreign exchange, stocks, companies, financial statements, fixed income and mergers & acquisitions. Students will learn how to gather and make sense of financial and economic data through research and interviews. Writing drills and graded assignments will help students apply their understanding of the core topics and hone their ability to write basic news reports on a company and the economy.",Communication Studies
CS4022,SOCIAL MEDIA MINING,4,Wee Kim Wee School of Communication and Information,Yes,Letter Graded,[['CS2405']],,This course covers how to analyse unstructured data such as social media content using text mining techniques. Students will learn various text mining techniques and tools both through lectures and hands-on exercises in labs. The course will also explore various usages of text mining techniques to real world applications.,Communication Studies
CS4023,ADVANCED PHOTOJOURNALISM,4,Wee Kim Wee School of Communication and Information,Yes,Letter Graded,[['CS2044']],,This course will challenge students who are already familiar with visual mediums to work at a more advanced level -- and produce thought-provoking content. We will acquaint ourselves with new advancements in visual tech and learn how stories can be told in different ways. Students will be challenged to build content with an audience in mind -- and actively seek out that audience.,Communication Studies
CS4024,WRITING FOR CINEMA & TV,4,Wee Kim Wee School of Communication and Information,Yes,Letter Graded,,,"Writing for Cinema and Television teaches the scripting of film screenplays with an emphasis on the short film form. This course examines the craft of structuring stories, the techniques of writing and developing stories for the visual medium. Topics include pitching, development, storyline, character, genre, narrative structure, scene construction, dialogue and transmedia approaches. In this course, structural analysis is balanced with the development of creative intuition skills. The semester concludes with class readings of your completed screenplay in order to ensure your industry-readiness.",Communication Studies
CS4026,DOCUMENTARY PRODUCTION: CONCEPTS & APPLICATIONS,4,Wee Kim Wee School of Communication and Information,Yes,Letter Graded,[['CS2025']],,"The aim of this course is to offer a broad perspective, intellectually and creatively, on the available formal features and structures non-fiction film utilize for exploring short film ideas. This course is most appropriate for students who have completed the intro production pre-requisites and are considering a FYP documentary video project. Based on selected screenings and readings, the course focuses on students developing a set of tools for creating documentary films beyond journalism and preparing students for their FYP videos.",Communication Studies
CS4027,NARRATIVE FILM & TV:CONCEPTS & APPLICATIONS,4,Wee Kim Wee School of Communication and Information,Yes,Letter Graded,[['CS2025']],,"This course is designed to encourage students to discover and explore the main currents and concepts in practical film theory to give them a better understanding of how to create compelling narrative films. The syllabus is divided into two sections. The first deals with specific theoretical concerns and will be covered in the lectures. The second looks at advanced film practice and key movements in the development of film narrative. Both will be examined regarding their implications for style and will be covered mostly in the tutorials. Throughout the course, theory and its relationship to practice will be questioned in an attempt to answer the following: Does film narrative have a natural vocation for realism or artifice and stylization? Should style draw attention to its self or be self-effacing? Is there an ideal style? What ways are there of telling a story? How does digital cinematic narration work? What does the spectator do in comprehending a narrative film? What features and structures solicit story comprehension and how is it exploited in film practice? What role can the properties of the digital medium play in the process of narration?",Communication Studies
CS4030,CRISIS MANAGEMENT,4,Wee Kim Wee School of Communication and Information,Yes,Letter Graded,,,"Crisis management is a dynamic and ongoing process. This course aims to equip students with the necessary skills to prepare for organizational crisis, diagnose the nature of the crisis, how to communicate during crises and how to recover and learn from crises. Students will be taken through each step of the life cycle of a crisis, with the aim of helping them learn what they need to do at each phase. The emphasis is on preventive rather than reactive aspects of crisis management. This is a useful course for students who wish to be equipped with the necessary crisis management knowledge to gain a head-start in a career in public relations, consultancy, public administration and strategic communications.",Communication Studies
CS4032,COMMUNICATION CAMPAIGNS,4,Wee Kim Wee School of Communication and Information,Yes,Letter Graded,[['CS2058']],,"This course involves the planning, creation, production, dissemination, and evaluation of various forms of publicity to support a range of comprehensive communication campaigns. The focus covers advertising and public relations work and is a pre-requisite for undergraduates who are preparing for their final year campaign projects. The course offers students' knowledge necessary for all kinds of promotional communication jobs. The objective is to develop a communication campaign that can be designed, implemented, and evaluated within the semester time-frame.",Communication Studies
CS4037,AUDIENCE RESEARCH METHODS,4,Wee Kim Wee School of Communication and Information,Yes,Letter Graded,[['CS2008']],,"This course is designed to provide students with tools to study audience characteristics and the impact of communication on receivers. The course centers around two research methods that are widely used by academics and practitioners: survey research and focus group study. Students will learn how to design, plan and implement these two types of studies. They will also learn how to analyse data and present the findings in both oral and written formats.",Communication Studies
CS4039,FRONTIERS IN COMMUNICATION SCIENCE,4,Wee Kim Wee School of Communication and Information,Yes,Letter Graded,,,"This elective Communication course aims to develop your understanding of the fundamentals underlying several of the most cutting-edge approaches in communication science, such as agent-based modeling or gene studies, as well as to demonstrate how these approaches are actually applied in understanding communication. Main topics: Psychophysiological measures Gene studies / Evolutionary approach Agent-based modeling Machine-learning approaches Philosophy of science / Statistical theory",Communication Studies
CS4042,ADVANCED RESEARCH METHODS,4,Wee Kim Wee School of Communication and Information,Yes,Letter Graded,[['HP1100']],,"This course is designed to introduce you to advanced research methods in communication to understand and implement research in applied settings. In this class, you will become familiar with essential ideas in measurements, experimental design, quantitative content analysis, data analysis, and result interpretation/reporting.",Communication Studies
CS4050,BAYESIAN DATA ANALYSIS & ITS APPLICATIONS,4,Wee Kim Wee School of Communication and Information,Yes,Letter Graded,[['CS2008']],,"The recent changes in information environments have led to the increases in demand for the ability to collect, process, and interpret data. This course introduces Bayesian statistics, which serves as the theoretical foundation of cutting-edge machine learning techniques and artificial intelligence. The core concepts in probability theory and the logics behind statistical inference will be introduced using examples of everyday problems. Starting from the science behind Sherlock Holmes' investigation methods, the lectures will cover various creative topics, including predicting the divorce of celebrity couples and the winner of best picture at the Oscars, forecasting free-food events on campus, classifying spams from legitimate emails, and many other applications of Bayesian methods. This course also emphasizes the development of practical skills, offering an opportunity for students to learn programming languages, such as R and Python. A series of tutorials will cover from the basic to intermediate level coding skills for writing algorithms of machine learning. No prior knowledge of programming is expected.",Communication Studies
CS4053,POPULAR CINEMA,4,Wee Kim Wee School of Communication and Information,Yes,Letter Graded,,,"This course introduces students to the different genres of contemporary popular global cinemas. In addition to Hollywood feature films, students will study non-Hollywood contemporary films that have proven successfully at the box offices either internationally and/or in their countries of production in order to study the critical elements that have contributed to the success of these films. Students will be exposed to box office hits from a wide variety of countries such as Spain, the UK, Japan, Korea, India and Australia. The analysis of these popular films will be contextualised in relation to relevant film theories such as genre theory, audience reception theories, studies of the economic development of new cinematic industries and the impact of global film distribution.",Communication Studies
CS4059,PUBLIC OPINION,4,Wee Kim Wee School of Communication and Information,Yes,Letter Graded,,,"This course focuses on contemporary concepts of public opinion, theories of public opinion, ways of measuring public opinion, and the impact of public opinion, with special reference to media-related issues. We will examine relationships between public opinion and communication and explore the role of media use in the formation and change of public opinion. We will also address the influence of public opinion on individuals' attitudes and behaviors.",Communication Studies
CS4072,DIGITAL MEDIA & HUMAN RELATIONSHIPS,4,Wee Kim Wee School of Communication and Information,Yes,Letter Graded,,,"The course covers issues related to computer-mediated communication and human computer interaction in various contexts that would help students understand the different impacts digital media have on its users. Among many digital technologies, we pay special attention to emerging computer-related technologies such as Web, App, smart devices, mobile technologies, computer games, educational simulation, speech user interfaces, social interfaces, agents, avatars, and virtual reality. Psychological and socio-cultural implications of new digital technologies are the main concerns of the course. Diverse methodological tools and viewpoints will be provided in the class to help students analyze the implications of future unseen technologies. There is no requirement for engineering or technological background.",Communication Studies
CS4075,SELECTED TOPICS IN PR:EVALUATING & PRODUCING CAMPAIGN RESULT,4,Wee Kim Wee School of Communication and Information,Yes,Letter Graded,[['CS2008']],,"This course is designed to introduce you to significant concepts and issues in planning for, and evaluating communication campaigns. There are two primary objectives of this course: 1) to provide you with knowledge and skills for conducting communication campaign research and 2) to guide you in building critical literacies to constructively criticize the campaign evaluations of others. These are skills that are actively sought after by professional campaigns, industry leaders, and government agencies across a wide range of contexts. This course is centered on one grand question, 'How can we demonstrate that a communication campaign is effective?' While this question seems simple at first, you will learn that there is a great deal of breadth and depth of reasoning and observation needed in fully answering this question.",Communication Studies
CS4090,GOING OVERSEAS FOR ADVANCED REPORTING,4,Wee Kim Wee School of Communication and Information,Yes,Letter Graded,[['CS2021']],,"This hands-on course exposes journalism students to the challenges of operating in another country and culture. Students work on stories that require a stint in the overseas location. They are expected to deliver stories of publishable/broadcastable quality. They will prepare for their field trips by attending seminars and doing independent research into the chosen location and identifying workable story ideas. They are also expected to help organise the logistics of the programme. While overseas, they are expected to function as working journalists, developing their story ideas within the practical constraints of operating in the field. They will complete their assignments back in Singapore. Admission to this course is by application and on merit.",Communication Studies
CS4092,NEW MEDIA & SOCIETY,4,Wee Kim Wee School of Communication and Information,Yes,Letter Graded,,,"New media technologies are changing every aspect of our social, political and cultural lives. This course aims to help students develop insights into how new media affects news, politics, economy, education and culture. After taking this course, you will be familiar with how new media technologies shape the way we work, study, make friends, create knowledge and ultimately, live. You will explore the development and use of new information and communication technologies and critically examine their social and cultural impact.",Communication Studies
CS4150,HEALTH COMMUNICATION,4,Wee Kim Wee School of Communication and Information,Yes,Letter Graded,[['CS2008']],,"This course is designed to introduce you to significant concepts and issues in the field of health communication. Health communication encompasses theories, research, and practices based on multiple sources of scholarship such as communication, public health, and social psychology. The primary objective of this course is to provide you with knowledge and skills for communicating health in a wide range of contexts. To this end, the course content is organized into three parts. The first part of the course presents theoretical frameworks guide health communication practice. The second part introduces health communication strategies and tactics. For the last part of the course, we will devote time to develop health campaigns as a group project applying the principles and skills learned in class.",Communication Studies
CS4265,GLOBAL FILM CULTURES: HOLLYWOOD & THE WEST,4,Wee Kim Wee School of Communication and Information,Yes,Letter Graded,,,"In the years following its emergence in the 1890s, motion picture quickly became an enormously popular art form, as well as a large and lucrative industry. Focusing on the American and European context, Global Film Cultures: Hollywood and the West will examine the relationship between the artistic and industrial sides of the film, as well its cultural impact and the implications of its status as a 'mass' art. By focusing substantially on the history, movements, and new forms and aesthetics of both Hollywood and European cinema, this module examines on moments in cinema's development that are particularly relevant from a historical perspective, be it aesthetic, social, technological and economic. Throughout the semester you will learn the origins of the Hollywood studio system, its development of key genres, its ideological functions, and what it can tell us about the role of popular culture more broadly in the United States and Europe during the twentieth century by screenings, readings, and discussions of such vital moments in film history; classical Hollywood cinema, German Expressionism, French avant-garde, Italian neo-realism, and New American Cinema in the 1970s. It is not necessary for you to have prior knowledge of cinema studies, and all are welcome.",Communication Studies
CS4311,PROMOTING SUSTAINABILITY,4,Wee Kim Wee School of Communication and Information,Yes,Letter Graded,,,This course introduces the concept and practice of social marketing as a means of promoting sustainability. Course contents explore a range of environmental issues that social marketers have sought to address by influencing public attitudes and behaviours. A social marketing case study will accompany each sustainability theme.,Communication Studies
CS4312,WOMEN IN FILM & TV INDUSTRIES,4,Wee Kim Wee School of Communication and Information,Yes,Letter Graded,,,"The aim of this course is to offer an interdisciplinary perspective on the question of why women are underrepresented in the film and TV industries. This course is most appropriate for students who have some general knowledge of film production and/or film history and theories. Based on selected papers, book chapters, and industry publications, the course focuses on what factors might contribute to replicating this inequality as well as the different ways this might play out in different national systems and regions. The focus is on preparing you to participate in the global debates about the legal, policy and ethical issues in the industry as people discuss meaningful correctives.",Communication Studies
CS4313,PROGRAMMING IN PYTHON,4,Wee Kim Wee School of Communication and Information,Yes,Letter Graded,,,"This course teaches computational thinking, i.e., the process of approaching a problem in a systematic manner and creating a solution that can be carried out by a computer. For implementation, these solutions have to be translated into a computer programming language, and for this course, we will be using Python.",Communication Studies
CS4315,"SOCIAL MEDIA, SELF & SOCIETY",4,Wee Kim Wee School of Communication and Information,Yes,Letter Graded,,,"Social media services such as Facebook, Twitter, Instagram, and Snapchat, have become an omnipresent class of communication that is continuously transforming the ways we communicate in everyday life. This course applies theories of communication to analyze the design and effects of social media on individual, social, and political outcomes. In doing so, we will consider topics that include social networks and contagion, identity management, memes, and viral trends, opinion formation and reinforcement, algorithms and bots, privacy and surveillance, rumors and misinformation, and civic engagement and mobilization. At the end of the course, the students will gain the expertise, critical reasoning ability, and analytical skills to efficiently create, consume, and evaluate the cognitive and sociopolitical effects of social media.",Communication Studies
CS4317,PERFORMATIVE DOCUMENTARY,4,Wee Kim Wee School of Communication and Information,Yes,Letter Graded,[['CS2025']],,"The performative documentary is a play of the reality often self-reflexive, in contrary to straightforward reports, facts, and observations. This course provides an overview of the aesthetic significance of the performative documentary film, its historical lineage, poetic endeavor, and contemporary significance. By situating in between the division of fact and fiction, you will explore the awareness for constructing the cinematic reality though the performative act, which creates different narrative structures as in the traditionally defined cinematic terms such as scenes, characters, and plots. These narrative structures will help you to explore the concepts of filmmaking and to develop the relevant technical skills. You will apply this knowledge in the realization of a documentary film project, which will become part of your individual practice and personal understanding of the world and its representation.",Communication Studies
