,Course Code,Course Name,Academic Units,Faculty,BDE,Grade Type,Prerequisites,Mutually Exclusive,Course Information
27,BC2407,ANALYTICS II: ADVANCED PREDICTIVE TECHNIQUES,4.0 AU,NA,Yes,Letter Graded,AB1202 & BC2406 OR BC2406 & CH2010 OR BC2406 & MH2814 OR BC2406 & MS4012 OR BC2406 & SC2000,,"Previously, BC2406 introduced core concepts of Business Analytics and the important models in used by businesses and governments. However, there are more complex situations that require more sophisticated Analytics solutions. BC2407 is the continuation of BC2406. The main objective of BC2407 is to introduce students to advanced Analytics techniques to extract more useful and deeper insights under more complex realistic situations. At the end of the course, students will see the strengths and weaknesses of standard models, and learn advanced techniques to overcome the weaknesses in various scenarios. This course builds upon open source R software (as learnt in BC2406), and introduced a commercial software SAS, commonly used in Banks, Pharmaceuticals, MNCs and some government agencies. Students will learn the differences between R and SAS in both the model development phrase and in the standard software outputs."
28,BC2408,SUPPLY CHAIN ANALYTICS,4.0 AU,NA,No,Letter Graded,BE1401 OR BE1402,BC2409,"Supply chain analytics is a set of approaches utilized to efficiently integrate suppliers, manufacturers, warehouses and stores and to efficiently manage material, information and financial flows so that merchandise is produced and distributed at the right quantities, to the right locations, and at the right time, in order to maximize systemwide surplus or value. It plays an important role in today's global economy, because efficient supply chains not only make companies more profitable but also allow customers to receive better products at lower prices. For business and technology management students, it becomes critical to have a good understanding of supply chains and its vital role as a source of both performance improvement and business innovation. The goals of the course are i) to provide an understanding and appreciation of key challenges in supply chain analytics and key drivers of supply chain performance, and ii) to expose students to techniques and strategies used to optimize supply chain decisions and to anticipate or explain supply chain phenomena. The teaching method used is seminar style with a mix of lectures, case discussions, problem-solving exercises, spreadsheet-modeling demonstrations and class discussions. Students will be graded on class participation, individual assignments, quizzes, and a final group project. The course is suitable for students of business analytics or technology management, as well as aspiring consultants or entrepreneurs."
29,BC2409,SUPPLY CHAIN ANALYTICS,3.0 AU,NA,No,Letter Graded,BE1401 OR BE1402,BC2408,"Supply chain analytics is a set of approaches utilized to efficiently integrate suppliers, manufacturers, warehouses and stores and to efficiently manage material, information and financial flows so that merchandise is produced and distributed at the right quantities, to the right locations, and at the right time, in order to maximize systemwide surplus or value. It plays an important role in today's global economy, because efficient supply chains not only make companies more profitable but also allow customers to receive better products at lower prices. For business and technology management students, it becomes critical to have a good understanding of supply chains and its vital role as a source of both performance improvement and business innovation. The goals of the course are i) to provide an understanding and appreciation of key challenges in supply chain analytics and key drivers of supply chain performance, and ii) to expose students to techniques and strategies used to optimize supply chain decisions and to anticipate or explain supply chain phenomena. The teaching method used is seminar style with a mix of lectures, case discussions, problem-solving exercises, spreadsheet-modeling demonstrations and class discussions. Students will be graded on class participation, individual assignments, quizzes, and a final group project. The course is suitable for students of business analytics or technology management, as well as aspiring consultants or entrepreneurs."
30,BC2410,PRESCRIPTIVE ANALYTICS: FROM DATA TO DECISION,4.0 AU,NA,No,Letter Graded,SC2002 OR BC0401 OR AB0403 OR MH1201 OR MH1403 OR CE1103 OR SC1003 OR CZ1103 OR CE2002 OR CZ2002,BC2411,"In this era of big data, many companies and public organizations invest heavily in various flavors of analytics: descriptive, predictive, and prescriptive. Among them, prescriptive analytics goes beyond what happened (descriptive analytics), what will happen (predictive analytics), and provides insights into what to do to help companies and public organizations make better decisions. This course aims to introduce students to the theory and applications of prescriptive analytics: how to go from data to optimal decision-making. It contains two principal components (1) Data-driven optimization theories and techniques and (2) Important business applications in finance, investment, and operations management. Optimization theories such as linear optimization, discrete optimization, network optimization, quadratic optimization, stochastic optimization, and robust optimization will be covered in this course, with applications in portfolio selection, asset allocation, risk management, revenue management, pricing and hedging of options, asset/liability management, appointment scheduling, retail operations, inventory management, and assets repositioning in a sharing economy. We will also place a specific focus on analyzing real data and solving optimization models using Python with commercial solver Gurobi*. * Academic version is free."
31,BC2411,PRESCRIPTIVE ANALYTICS: FROM DATA TO DECISION,3.0 AU,NA,No,Letter Graded,SC2002 OR BC0401 OR AB0403 OR MH1201 OR MH1403 OR CE1103 OR SC1003 OR CZ1103 OR CE2002 OR CZ2002,BC2410,"In this era of big data, many companies and public organizations invest heavily in various flavors of analytics: descriptive, predictive, and prescriptive. Among them, prescriptive analytics goes beyond what happened (descriptive analytics), what will happen (predictive analytics), and provides insights into what to do to help companies and public organizations make better decisions. This course aims to introduce students to the theory and applications of prescriptive analytics: how to go from data to optimal decision-making. It contains two principal components (1) Data-driven optimization theories and techniques and (2) Important business applications in finance, investment, and operations management. Optimization theories such as linear optimization, discrete optimization, network optimization, quadratic optimization, stochastic optimization, and robust optimization will be covered in this course, with applications in portfolio selection, asset allocation, risk management, revenue management, pricing and hedging of options, asset/liability management, appointment scheduling, retail operations, inventory management, and assets repositioning in a sharing economy. We will also place a specific focus on analyzing real data and solving optimization models using Python with commercial solver Gurobi*. * Academic version is free."
32,BC3402,FINANCIAL SERVICE PROCESSES & ANALYTICS,4.0 AU,NA,No,Letter Graded,AB1201 OR CZ1002 OR CE1002,BC3410,"This course traces the trade cycle and outline the front, middle and back office processes in financial services industry. For each of the key operational process, the course provides an overview of the process as well as the use of technology and analytics. Through the course, students are expected to develop the knowledge and skills in the managing, utilizing and leveraging of information technologies and analytics to support daily operations in financial institutions. Knowledge of programming languages is not required. The course is intended to prepare undergraduates for careers in Finance, MIS and management consulting, who will need to have a firm grasp of technology concepts as they relate to the financial services context."
33,BC3406,BUSINESS ANALYTICS CONSULTING,4.0 AU,NA,No,Letter Graded,AB1202 & AB3601(Corequisite) & BC2402 & BC2406 & BC2407(Corequisite),BC3412,"This course develops competencies for a career in business analytics consulting. Business analytics consulting is career option that provides incumbents an opportunity for challenging work, continued self-development, and access to important professional networks. These opportunities are available in large global organizations that practice in a variety of business settings and business disciplines, and in small firms offering niche/boutique services. In addition, many businesses have developed internal consulting organizations to provide consulting related services within the organization and often in conjunction with consulting services offered by third party firms."
34,BC3407,PROGRAMMING FOR BUSINESS TRANSFORMATION,4.0 AU,NA,No,Letter Graded,AB0403 OR BC0401 OR AB8401,BC3413,"This is an intermediate programming course designed for a business analytics student who has introductory programming background and is interested to learn how develop solutions for business. It is oriented to enhance your technical skillset. The aim of this course is to provide a broad understanding on how to develop programming codes to acquire, process and handle business related data. This course will equip you with the ability to write customized solutions to inform business decision, integrate Applications Programming Interface (API) for data understanding, data transformation, presenting processed information with Graphical User Interface. This module will provide you with individual hands-on practices to hone your coding skillset and opportunity to develop coding solution in a team. We utilize Python language as the medium of learning because it is the most in-demand coding language and its user-friendly syntaxes suitable in enhancing programming skills. You will utilize modern development tools to turn information into solutions."
35,BC3408,DECISION MODELLING & ANALYSIS,4.0 AU,NA,No,Letter Graded,,,"In this era of big data, many businesses and public organizations are investing heavily in data analytics. However, data analytics yield zero value until they are used to improve decisions. To achieve this objective, executives must know how to obtain and transform data insights into optimal, executable actions that are evaluated by their impact on key performance metrics. Decision modelling and analysis provides a quantitative approach to decision making. This approach identifies the key objectives and variables for a decision problem, constructs a mathematical model to represent the logical relations among the objectives and variables, and uses the mathematical model and information gained from data analytics to systematically and critically evaluate decision alternatives."
36,BC3409,AI IN ACCOUNTING & FINANCE,4.0 AU,NA,No,Letter Graded,BC2406,"BC3415, BF3222, BF3223","This is an introductory course designed for business or accountancy or Finance undergraduate students who are interested to learn how to manage data, conduct business analytics programmatically, create AI model to automate business processes and create predictive model to increase profitability or return. It is oriented to enhance their technical skillset. The aim of this course is to provide a broad understanding on how to manage data, the process of preparing data for analysis, basics of analytics, using AI to automate financial analysis process and generate accounting reports. This course will equip you with the ability to write customized solutions to make informed business decisions, integrate statistical libraries for data analysis, create AI models to automate accounting and financial process. This module will provide you with individual hands-on practices to hone your coding skills and opportunities to develop coding solutions in a team. We utilize R and Python language as the medium of learning because it is one of the most in-demand coding language and its user-friendly syntax is well suited for the beginner level. You will utilise modern development tools to turn information into insights including Keras' Deep Learning model, Google Brain TensorFlow, Hadoop, Spark and Cloud."
37,BC3412,BUSINESS ANALYTICS CONSULTING,3.0 AU,NA,No,Letter Graded,Year 3 standing AB1202 & AB3602(Corequisite) & BC2402 & BC2406 & BC2407(Corequisite),BC3406,"This course develops competencies for a career in business analytics consulting. It is a career option that provides incumbents an opportunity for challenging work, continued self-development, and access to important professional networks. Career opportunities are available in global consulting organizations practicing in a variety of business settings and business disciplines, and in small consulting firms offering niche/boutique services. In addition, many businesses have developed internal consulting departments to provide advisory services within the organization and often in conjunction with consulting services offered by third party firms."
38,BC3413,PROGRAMMING FOR BUSINESS TRANSFORMATION,3.0 AU,NA,No,Letter Graded,AB0403,BC3407,"This is an intermediate programming course designed for a business analytics student who has introductory programming background and is interested to learn how develop solutions for business. It is oriented to enhance your technical skillset. The aim of this course is to provide a broad understanding on how to develop programming codes to acquire, process and handle business related data. This course will equip you with the ability to write customized solutions to inform business decision, integrate Applications Programming Interface (API) for data understanding, data transformation, presenting processed information with Graphical User Interface. This module will provide you with individual hands-on practices to hone your coding skillset and opportunity to develop coding solution in a team. We utilize Python language as the medium of learning because it is the most in-demand coding language and its user-friendly syntaxes suitable in enhancing programming skills. You will utilize modern development tools to turn information into solutions."
39,BC3415,AI IN ACCOUNTING & FINANCE,3.0 AU,NA,No,Letter Graded,BC2406,"BC3409, BF3223","This is an introductory course designed for business or accountancy or Finance undergraduate students who are interested to learn how to manage data, conduct business analytics programmatically, create AI model to automate business processes and create predictive model to increase profitability or return. It is oriented to enhance their technical skillset. The aim of this course is to provide a broad understanding on how to manage data, the process of preparing data for analysis, basics of analytics, using AI to automate financial analysis process and generate accounting reports. This course will equip you with the ability to write customized solutions to make informed business decisions, integrate statistical libraries for data analysis, create AI models to automate accounting and financial process. This module will provide you with individual hands-on practices to hone your coding skills and opportunities to develop coding solutions in a team. We utilize R and Python language as the medium of learning because it is one of the most in-demand coding language and its user-friendly syntax is well suited for the beginner level. You will utilise modern development tools to turn information into insights including Keras' Deep Learning model, Google Brain TensorFlow, Hadoop, Spark and Cloud."
40,BC2407,ANALYTICS II: ADVANCED PREDICTIVE TECHNIQUES,4.0 AU,NA,Yes,Letter Graded,AB1202 & BC2406 OR BC2406 & CH2010 OR BC2406 & MH2814 OR BC2406 & MS4012 OR BC2406 & SC2000,,"Previously, BC2406 introduced core concepts of Business Analytics and the important models in used by businesses and governments. However, there are more complex situations that require more sophisticated Analytics solutions. BC2407 is the continuation of BC2406. The main objective of BC2407 is to introduce students to advanced Analytics techniques to extract more useful and deeper insights under more complex realistic situations. At the end of the course, students will see the strengths and weaknesses of standard models, and learn advanced techniques to overcome the weaknesses in various scenarios. This course builds upon open source R software (as learnt in BC2406), and introduced a commercial software SAS, commonly used in Banks, Pharmaceuticals, MNCs and some government agencies. Students will learn the differences between R and SAS in both the model development phrase and in the standard software outputs."
41,BC2408,SUPPLY CHAIN ANALYTICS,4.0 AU,NA,No,Letter Graded,BE1401 OR BE1402,BC2409,"Supply chain analytics is a set of approaches utilized to efficiently integrate suppliers, manufacturers, warehouses and stores and to efficiently manage material, information and financial flows so that merchandise is produced and distributed at the right quantities, to the right locations, and at the right time, in order to maximize systemwide surplus or value. It plays an important role in today's global economy, because efficient supply chains not only make companies more profitable but also allow customers to receive better products at lower prices. For business and technology management students, it becomes critical to have a good understanding of supply chains and its vital role as a source of both performance improvement and business innovation. The goals of the course are i) to provide an understanding and appreciation of key challenges in supply chain analytics and key drivers of supply chain performance, and ii) to expose students to techniques and strategies used to optimize supply chain decisions and to anticipate or explain supply chain phenomena. The teaching method used is seminar style with a mix of lectures, case discussions, problem-solving exercises, spreadsheet-modeling demonstrations and class discussions. Students will be graded on class participation, individual assignments, quizzes, and a final group project. The course is suitable for students of business analytics or technology management, as well as aspiring consultants or entrepreneurs."
42,BC2409,SUPPLY CHAIN ANALYTICS,3.0 AU,NA,No,Letter Graded,BE1401 OR BE1402,BC2408,"Supply chain analytics is a set of approaches utilized to efficiently integrate suppliers, manufacturers, warehouses and stores and to efficiently manage material, information and financial flows so that merchandise is produced and distributed at the right quantities, to the right locations, and at the right time, in order to maximize systemwide surplus or value. It plays an important role in today's global economy, because efficient supply chains not only make companies more profitable but also allow customers to receive better products at lower prices. For business and technology management students, it becomes critical to have a good understanding of supply chains and its vital role as a source of both performance improvement and business innovation. The goals of the course are i) to provide an understanding and appreciation of key challenges in supply chain analytics and key drivers of supply chain performance, and ii) to expose students to techniques and strategies used to optimize supply chain decisions and to anticipate or explain supply chain phenomena. The teaching method used is seminar style with a mix of lectures, case discussions, problem-solving exercises, spreadsheet-modeling demonstrations and class discussions. Students will be graded on class participation, individual assignments, quizzes, and a final group project. The course is suitable for students of business analytics or technology management, as well as aspiring consultants or entrepreneurs."
43,BC2410,PRESCRIPTIVE ANALYTICS: FROM DATA TO DECISION,4.0 AU,NA,No,Letter Graded,SC2002 OR BC0401 OR AB0403 OR MH1201 OR MH1403 OR CE1103 OR SC1003 OR CZ1103 OR CE2002 OR CZ2002,BC2411,"In this era of big data, many companies and public organizations invest heavily in various flavors of analytics: descriptive, predictive, and prescriptive. Among them, prescriptive analytics goes beyond what happened (descriptive analytics), what will happen (predictive analytics), and provides insights into what to do to help companies and public organizations make better decisions. This course aims to introduce students to the theory and applications of prescriptive analytics: how to go from data to optimal decision-making. It contains two principal components (1) Data-driven optimization theories and techniques and (2) Important business applications in finance, investment, and operations management. Optimization theories such as linear optimization, discrete optimization, network optimization, quadratic optimization, stochastic optimization, and robust optimization will be covered in this course, with applications in portfolio selection, asset allocation, risk management, revenue management, pricing and hedging of options, asset/liability management, appointment scheduling, retail operations, inventory management, and assets repositioning in a sharing economy. We will also place a specific focus on analyzing real data and solving optimization models using Python with commercial solver Gurobi*. * Academic version is free."
