,Course Code,Course Name,Academic Units,Faculty,BDE,Grade Type,Prerequisites,Mutually Exclusive,Course Information
23,BF3201,CORPORATE FINANCE & STRATEGY,4.0 AU,NA,No,Letter Graded,AB1201 OR RE8005 OR BU8201 (Min Grade :B+) OR BU5201 (Min Grade :B+),BF3215,"The course covers fundamental issues of corporate finance, including corporate governance, capital budgeting, capital structure, distribution policies, and working capital management. The course emphasizes financial practices in the real world. The course expands upon the concepts covered in AB1201 Financial Management. We emphasize using EXCEL to conduct computation. The background knowledge is provided through the textbook and lecture notes. By the end of the course, you should have developed a deeper understanding of how corporate financial managers make decisions in the dynamic corporate world and how these decisions impact firm value and stakeholders. The course is intended for students who are interested in pursuing a career in strategic financial decision making, including corporate finance, investment banking, private equity, consulting, etc."
24,BF3204,FINANCIAL MODELLING,4.0 AU,NA,No,Letter Graded,BF2201,BF3218,"This course reviews, advances, and applies the principles taught in prior introductory courses in finance. It takes a hands-on approach and provides students with ample opportunities to apply numerical and statistical analysis, table and graphical presentations, and database analysis. It exclusively uses MS Excel as a main tool for computing and analysis. After the completion of the course, you should be equipped with a strong foundation of finance and quantitative skills. The course benefits students who wish to become a quantitative financial analyst."
25,BF3207,ALTERNATIVE INVESTMENTS,4.0 AU,NA,No,Letter Graded,BF2201,BF3219,"Alternative investments include a wide variety of assets which include hedge funds, private equity, real estate, and commodities. We will start with a review of relevant subjects, such as statistics and portfolio theory. Afterwards, we will go over the various asset classes, focusing on hedge funds, private equity, and real estate. We will consider investment strategies, management structure, and performance measurement. If time permits, we will also discuss more unconventional assets."
26,BC2402,DESIGNING & DEVELOPING DATABASES,4.0 AU,NA,Yes,Letter Graded,,,"This course introduces participants to design, tools, techniques, and issues concerning the management of data. Data management is the foundation for organizations' business analytics; and for problem solving and decision-making. Participants will analyse a variety of business process, identify data requirements and develop an information system to support business processes and gather information for business analytics. In this course, participants will have an opportunity to apply their design and development competencies by implementing a database solution."
27,BC2406,ANALYTICS I: VISUAL & PREDICTIVE TECHNIQUES,4.0 AU,NA,Yes,Letter Graded,Year 2 standing ,BC3404,"Most organizations are data rich and information poor. The large volumes of data in an organization are 'oilfields' rich in information content that are pending extraction with the right tools and models. Analytics involves the art of data exploration, visualization, communication and the science of analyzing large quantities of data in order to discover meaningful patterns and useful insights to support decision-making. The primary objective of this course is to introduce students to various techniques available to extract useful insights from the large volumes of data. At the end of the course, students will not only see the substantial opportunities that exist in real world, but also learn techniques that allow them to exploit these opportunities. This course focus on the use of open source R software, which is one of the key analytics software used in various industries and a critical skillset required in the job market for analytics and data science professionals."
28,BC3405,LEAN OPERATIONS & ANALYTICS,4.0 AU,NA,No,Letter Graded,AB1202,BC3411,"The main objectives of this course are i) to appreciate the key principles/approaches of lean operations including waste elimination, increased speed and response, improved quality, and reduced cost & ii) to gain an understanding of the methodologies, tools, and techniques necessary for analyzing, implementing, managing, and continuously improving operations in both manufacturing and service industries. Topics covered in the course include Toyota Production System, Lean Principles, Value Stream Mapping, Pull Systems, Six Sigma, Lean thinking in manufacturing and service operations, and use of tools like optimization, queuing, simulation, and statistical analyses for modelling and analyzing real life systems. The course will use a mix of lectures, case studies, and problem-solving exercises, to introduce the students to the latest tools, techniques, issues, and strategies in lean operations management. A special focus of the course will be on the operations and technology function in both manufacturing and service sectors. This segment will provide rich opportunities for students to be exposed to challenges in manufacturing and service operations and gain insights through projects."
29,BC3409,AI IN ACCOUNTING & FINANCE,4.0 AU,NA,No,Letter Graded,BC2406,"BC3415, BF3222, BF3223","This is an introductory course designed for business or accountancy or Finance undergraduate students who are interested to learn how to manage data, conduct business analytics programmatically, create AI model to automate business processes and create predictive model to increase profitability or return. It is oriented to enhance their technical skillset. The aim of this course is to provide a broad understanding on how to manage data, the process of preparing data for analysis, basics of analytics, using AI to automate financial analysis process and generate accounting reports. This course will equip you with the ability to write customized solutions to make informed business decisions, integrate statistical libraries for data analysis, create AI models to automate accounting and financial process. This module will provide you with individual hands-on practices to hone your coding skills and opportunities to develop coding solutions in a team. We utilize R and Python language as the medium of learning because it is one of the most in-demand coding language and its user-friendly syntax is well suited for the beginner level. You will utilise modern development tools to turn information into insights including Keras' Deep Learning model, Google Brain TensorFlow, Hadoop, Spark and Cloud."
30,BC3411,LEAN OPERATIONS & ANALYTICS,3.0 AU,NA,No,Letter Graded,AB1202,BC3405,"The main objectives of this course are i) to appreciate the key principles/approaches of lean operations including waste elimination, increased speed and response, improved quality, and reduced cost & ii) to gain an understanding of the methodologies, tools, and techniques necessary for analyzing, implementing, managing, and continuously improving operations in both manufacturing and service industries. Topics covered in the course include Toyota Production System, Lean Principles, Value Stream Mapping, Pull Systems, Six Sigma, Lean thinking in manufacturing and service operations, and use of tools like optimization, queuing, simulation, and statistical analyses for modelling and analyzing real life systems. The course will use a mix of lectures, case studies, and problem-solving exercises, to introduce the students to the latest tools, techniques, issues, and strategies in lean operations management. A special focus of the course will be on the operations and technology function in both manufacturing and service sectors. This segment will provide rich opportunities for students to be exposed to challenges in manufacturing and service operations and gain insights through projects."
31,BC3415,AI IN ACCOUNTING & FINANCE,3.0 AU,NA,No,Letter Graded,BC2406,"BC3409, BF3223","This is an introductory course designed for business or accountancy or Finance undergraduate students who are interested to learn how to manage data, conduct business analytics programmatically, create AI model to automate business processes and create predictive model to increase profitability or return. It is oriented to enhance their technical skillset. The aim of this course is to provide a broad understanding on how to manage data, the process of preparing data for analysis, basics of analytics, using AI to automate financial analysis process and generate accounting reports. This course will equip you with the ability to write customized solutions to make informed business decisions, integrate statistical libraries for data analysis, create AI models to automate accounting and financial process. This module will provide you with individual hands-on practices to hone your coding skills and opportunities to develop coding solutions in a team. We utilize R and Python language as the medium of learning because it is one of the most in-demand coding language and its user-friendly syntax is well suited for the beginner level. You will utilise modern development tools to turn information into insights including Keras' Deep Learning model, Google Brain TensorFlow, Hadoop, Spark and Cloud."
32,BT2403,SERVICES OPERATIONS MANAGEMENT,4.0 AU,NA,No,Letter Graded,,BT2404,"Services make up over 75% of the Singapore economy both in GDP and in employment, with similar trends across the industrialized and developing/emerging nations within the global economy. However, Distinctive characteristics of services such as their intangibility, perishability, simultaneity, and heterogeneity, present unique challenges for managers in service organizations. The main aim of this course is twofold: to introduce you to the most important aspects and general principles of service management across different industries and economies, following a service-dominant logic on business; to provide you with an understanding and essential knowledge of the analysis, modelling, decision making and implementation for managing the operational issues of a service. Emphasis will be on developing your modelling skills with the use of mathematical tools and techniques to manage service operations. Topics include the service concept and operations strategy, the design of effective service delivery networks, service quality management, managing service inventory, waiting line analysis, capacity planning, and yield management."
33,BT2404,SERVICES OPERATIONS MANAGEMENT,3.0 AU,NA,No,Letter Graded,,BT2403,"Services make up over 75% of the Singapore economy both in GDP and in employment, with similar trends across the industrialized and developing/emerging nations within the global economy. However, Distinctive characteristics of services such as their intangibility, perishability, simultaneity, and heterogeneity, present unique challenges for managers in service organizations. The main aim of this course is twofold: to introduce you to the most important aspects and general principles of service management across different industries and economies, following a service-dominant logic on business; to provide you with an understanding and essential knowledge of the analysis, modelling, decision making and implementation for managing the operational issues of a service. Emphasis will be on developing your modelling skills with the use of mathematical tools and techniques to manage service operations. Topics include the service concept and operations strategy, the design of effective service delivery networks, service quality management, managing service inventory, waiting line analysis, capacity planning, and yield management."
34,BC3405,LEAN OPERATIONS & ANALYTICS,4.0 AU,NA,No,Letter Graded,AB1202,BC3411,"The main objectives of this course are i) to appreciate the key principles/approaches of lean operations including waste elimination, increased speed and response, improved quality, and reduced cost & ii) to gain an understanding of the methodologies, tools, and techniques necessary for analyzing, implementing, managing, and continuously improving operations in both manufacturing and service industries. Topics covered in the course include Toyota Production System, Lean Principles, Value Stream Mapping, Pull Systems, Six Sigma, Lean thinking in manufacturing and service operations, and use of tools like optimization, queuing, simulation, and statistical analyses for modelling and analyzing real life systems. The course will use a mix of lectures, case studies, and problem-solving exercises, to introduce the students to the latest tools, techniques, issues, and strategies in lean operations management. A special focus of the course will be on the operations and technology function in both manufacturing and service sectors. This segment will provide rich opportunities for students to be exposed to challenges in manufacturing and service operations and gain insights through projects."
35,BC3409,AI IN ACCOUNTING & FINANCE,4.0 AU,NA,No,Letter Graded,BC2406,"BC3415, BF3222, BF3223","This is an introductory course designed for business or accountancy or Finance undergraduate students who are interested to learn how to manage data, conduct business analytics programmatically, create AI model to automate business processes and create predictive model to increase profitability or return. It is oriented to enhance their technical skillset. The aim of this course is to provide a broad understanding on how to manage data, the process of preparing data for analysis, basics of analytics, using AI to automate financial analysis process and generate accounting reports. This course will equip you with the ability to write customized solutions to make informed business decisions, integrate statistical libraries for data analysis, create AI models to automate accounting and financial process. This module will provide you with individual hands-on practices to hone your coding skills and opportunities to develop coding solutions in a team. We utilize R and Python language as the medium of learning because it is one of the most in-demand coding language and its user-friendly syntax is well suited for the beginner level. You will utilise modern development tools to turn information into insights including Keras' Deep Learning model, Google Brain TensorFlow, Hadoop, Spark and Cloud."
36,BC3411,LEAN OPERATIONS & ANALYTICS,3.0 AU,NA,No,Letter Graded,AB1202,BC3405,"The main objectives of this course are i) to appreciate the key principles/approaches of lean operations including waste elimination, increased speed and response, improved quality, and reduced cost & ii) to gain an understanding of the methodologies, tools, and techniques necessary for analyzing, implementing, managing, and continuously improving operations in both manufacturing and service industries. Topics covered in the course include Toyota Production System, Lean Principles, Value Stream Mapping, Pull Systems, Six Sigma, Lean thinking in manufacturing and service operations, and use of tools like optimization, queuing, simulation, and statistical analyses for modelling and analyzing real life systems. The course will use a mix of lectures, case studies, and problem-solving exercises, to introduce the students to the latest tools, techniques, issues, and strategies in lean operations management. A special focus of the course will be on the operations and technology function in both manufacturing and service sectors. This segment will provide rich opportunities for students to be exposed to challenges in manufacturing and service operations and gain insights through projects."
37,BC3415,AI IN ACCOUNTING & FINANCE,3.0 AU,NA,No,Letter Graded,BC2406,"BC3409, BF3223","This is an introductory course designed for business or accountancy or Finance undergraduate students who are interested to learn how to manage data, conduct business analytics programmatically, create AI model to automate business processes and create predictive model to increase profitability or return. It is oriented to enhance their technical skillset. The aim of this course is to provide a broad understanding on how to manage data, the process of preparing data for analysis, basics of analytics, using AI to automate financial analysis process and generate accounting reports. This course will equip you with the ability to write customized solutions to make informed business decisions, integrate statistical libraries for data analysis, create AI models to automate accounting and financial process. This module will provide you with individual hands-on practices to hone your coding skills and opportunities to develop coding solutions in a team. We utilize R and Python language as the medium of learning because it is one of the most in-demand coding language and its user-friendly syntax is well suited for the beginner level. You will utilise modern development tools to turn information into insights including Keras' Deep Learning model, Google Brain TensorFlow, Hadoop, Spark and Cloud."
38,BT2403,SERVICES OPERATIONS MANAGEMENT,4.0 AU,NA,No,Letter Graded,,BT2404,"Services make up over 75% of the Singapore economy both in GDP and in employment, with similar trends across the industrialized and developing/emerging nations within the global economy. However, Distinctive characteristics of services such as their intangibility, perishability, simultaneity, and heterogeneity, present unique challenges for managers in service organizations. The main aim of this course is twofold: to introduce you to the most important aspects and general principles of service management across different industries and economies, following a service-dominant logic on business; to provide you with an understanding and essential knowledge of the analysis, modelling, decision making and implementation for managing the operational issues of a service. Emphasis will be on developing your modelling skills with the use of mathematical tools and techniques to manage service operations. Topics include the service concept and operations strategy, the design of effective service delivery networks, service quality management, managing service inventory, waiting line analysis, capacity planning, and yield management."
39,BT2404,SERVICES OPERATIONS MANAGEMENT,3.0 AU,NA,No,Letter Graded,,BT2403,"Services make up over 75% of the Singapore economy both in GDP and in employment, with similar trends across the industrialized and developing/emerging nations within the global economy. However, Distinctive characteristics of services such as their intangibility, perishability, simultaneity, and heterogeneity, present unique challenges for managers in service organizations. The main aim of this course is twofold: to introduce you to the most important aspects and general principles of service management across different industries and economies, following a service-dominant logic on business; to provide you with an understanding and essential knowledge of the analysis, modelling, decision making and implementation for managing the operational issues of a service. Emphasis will be on developing your modelling skills with the use of mathematical tools and techniques to manage service operations. Topics include the service concept and operations strategy, the design of effective service delivery networks, service quality management, managing service inventory, waiting line analysis, capacity planning, and yield management."
40,BC3405,LEAN OPERATIONS & ANALYTICS,4.0 AU,NA,No,Letter Graded,AB1202,BC3411,"The main objectives of this course are i) to appreciate the key principles/approaches of lean operations including waste elimination, increased speed and response, improved quality, and reduced cost & ii) to gain an understanding of the methodologies, tools, and techniques necessary for analyzing, implementing, managing, and continuously improving operations in both manufacturing and service industries. Topics covered in the course include Toyota Production System, Lean Principles, Value Stream Mapping, Pull Systems, Six Sigma, Lean thinking in manufacturing and service operations, and use of tools like optimization, queuing, simulation, and statistical analyses for modelling and analyzing real life systems. The course will use a mix of lectures, case studies, and problem-solving exercises, to introduce the students to the latest tools, techniques, issues, and strategies in lean operations management. A special focus of the course will be on the operations and technology function in both manufacturing and service sectors. This segment will provide rich opportunities for students to be exposed to challenges in manufacturing and service operations and gain insights through projects."
41,BC3409,AI IN ACCOUNTING & FINANCE,4.0 AU,NA,No,Letter Graded,BC2406,"BC3415, BF3222, BF3223","This is an introductory course designed for business or accountancy or Finance undergraduate students who are interested to learn how to manage data, conduct business analytics programmatically, create AI model to automate business processes and create predictive model to increase profitability or return. It is oriented to enhance their technical skillset. The aim of this course is to provide a broad understanding on how to manage data, the process of preparing data for analysis, basics of analytics, using AI to automate financial analysis process and generate accounting reports. This course will equip you with the ability to write customized solutions to make informed business decisions, integrate statistical libraries for data analysis, create AI models to automate accounting and financial process. This module will provide you with individual hands-on practices to hone your coding skills and opportunities to develop coding solutions in a team. We utilize R and Python language as the medium of learning because it is one of the most in-demand coding language and its user-friendly syntax is well suited for the beginner level. You will utilise modern development tools to turn information into insights including Keras' Deep Learning model, Google Brain TensorFlow, Hadoop, Spark and Cloud."
42,BC3411,LEAN OPERATIONS & ANALYTICS,3.0 AU,NA,No,Letter Graded,AB1202,BC3405,"The main objectives of this course are i) to appreciate the key principles/approaches of lean operations including waste elimination, increased speed and response, improved quality, and reduced cost & ii) to gain an understanding of the methodologies, tools, and techniques necessary for analyzing, implementing, managing, and continuously improving operations in both manufacturing and service industries. Topics covered in the course include Toyota Production System, Lean Principles, Value Stream Mapping, Pull Systems, Six Sigma, Lean thinking in manufacturing and service operations, and use of tools like optimization, queuing, simulation, and statistical analyses for modelling and analyzing real life systems. The course will use a mix of lectures, case studies, and problem-solving exercises, to introduce the students to the latest tools, techniques, issues, and strategies in lean operations management. A special focus of the course will be on the operations and technology function in both manufacturing and service sectors. This segment will provide rich opportunities for students to be exposed to challenges in manufacturing and service operations and gain insights through projects."
43,BC3415,AI IN ACCOUNTING & FINANCE,3.0 AU,NA,No,Letter Graded,BC2406,"BC3409, BF3223","This is an introductory course designed for business or accountancy or Finance undergraduate students who are interested to learn how to manage data, conduct business analytics programmatically, create AI model to automate business processes and create predictive model to increase profitability or return. It is oriented to enhance their technical skillset. The aim of this course is to provide a broad understanding on how to manage data, the process of preparing data for analysis, basics of analytics, using AI to automate financial analysis process and generate accounting reports. This course will equip you with the ability to write customized solutions to make informed business decisions, integrate statistical libraries for data analysis, create AI models to automate accounting and financial process. This module will provide you with individual hands-on practices to hone your coding skills and opportunities to develop coding solutions in a team. We utilize R and Python language as the medium of learning because it is one of the most in-demand coding language and its user-friendly syntax is well suited for the beginner level. You will utilise modern development tools to turn information into insights including Keras' Deep Learning model, Google Brain TensorFlow, Hadoop, Spark and Cloud."
